Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8550,8750,8640,26 Oct 2023
2,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8500,8700,8600,23 Oct 2023
3,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8350,8550,8470,12 Oct 2023
4,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8400,8600,8480,11 Oct 2023
5,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8350,8600,8460,09 Oct 2023
6,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8300,8500,8400,04 Oct 2023
7,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8180,8350,8260,03 Oct 2023
8,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8210,30 Sep 2023
9,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8150,8350,8250,27 Sep 2023
10,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8200,21 Sep 2023
11,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8210,20 Sep 2023
12,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8150,8350,8240,19 Sep 2023
13,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8220,18 Sep 2023
14,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8150,8350,8230,16 Sep 2023
15,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8150,8325,8225,15 Sep 2023
16,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8220,14 Sep 2023
17,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8350,8230,13 Sep 2023
18,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8350,8225,12 Sep 2023
19,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,9300,9500,9400,11 Sep 2023
20,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,9250,9500,9380,09 Sep 2023
21,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8150,8300,8220,04 Sep 2023
22,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8150,8400,8250,01 Sep 2023
23,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8150,8350,8230,26 Aug 2023
24,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8200,25 Aug 2023
25,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8050,8250,8160,23 Aug 2023
26,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8210,22 Aug 2023
27,Agra,Agra,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100,8300,8200,18 Aug 2023
